Solution: A= 9.145, B=-2.606, ,c1=0.08, c2=-0.36 ,Crash=28.72 days/2017-12-14 17:02:23, m=0.87  ,w=11.64. Cost=1.35987
Solution: A= 9.180, B=-2.618, ,c1=0.04, c2=-0.37 ,Crash=19.66 days/2017-12-10 15:25:40, m=0.81  ,w=11.37. Cost=1.46330
Solution: A= 9.154, B=-2.674, ,c1=0.07, c2=-0.31 ,Crash=16.47 days/2017-12-11 11:00:42, m=0.86  ,w=11.33. Cost=1.99392
Solution: A= 9.206, B=-2.626, ,c1=0.03, c2=-0.36 ,Crash=17.51 days/2017-12-11 11:48:16, m=0.80  ,w=11.47. Cost=1.35709
Solution: A= 9.230, B=-2.638, ,c1=0.10, c2=-0.34 ,Crash=45.78 days/2017-12-22 18:23:31, m=0.86  ,w=12.33. Cost=1.36859
Solution: A= 9.129, B=-2.642, ,c1=0.07, c2=-0.33 ,Crash=22.21 days/2017-12-11 04:44:01, m=0.87  ,w=11.33. Cost=1.87512
Solution: A= 9.167, B=-2.628, ,c1=0.06, c2=-0.35 ,Crash=19.44 days/2017-12-10 10:11:52, m=0.83  ,w=11.30. Cost=1.61869
Solution: A= 9.168, B=-2.625, ,c1=0.07, c2=-0.36 ,Crash=17.93 days/2017-12-09 22:00:39, m=0.82  ,w=11.22. Cost=1.42008
Solution: A= 9.205, B=-2.634, ,c1=0.05, c2=-0.36 ,Crash=16.58 days/2017-12-11 13:32:55, m=0.80  ,w=11.44. Cost=1.47272
Solution: A= 9.218, B=-2.646, ,c1=0.11, c2=-0.34 ,Crash=39.47 days/2017-12-19 10:50:26, m=0.85  ,w=11.99. Cost=1.31622
Solution: A= 9.170, B=-2.612, ,c1=0.04, c2=-0.37 ,Crash=22.21 days/2017-12-11 04:42:11, m=0.82  ,w=11.42. Cost=1.45705
Solution: A= 9.209, B=-2.633, ,c1=0.04, c2=-0.36 ,Crash=16.79 days/2017-12-11 18:31:13, m=0.80  ,w=11.48. Cost=1.49725
Solution: A= 9.209, B=-2.617, ,c1=0.06, c2=-0.35 ,Crash=37.57 days/2017-12-19 13:17:47, m=0.85  ,w=12.15. Cost=1.28059
Solution: A= 9.148, B=-2.618, ,c1=0.08, c2=-0.36 ,Crash=21.06 days/2017-12-10 01:09:02, m=0.84  ,w=11.22. Cost=1.40392
Solution: A= 9.135, B=-2.647, ,c1=0.08, c2=-0.31 ,Crash=30.67 days/2017-12-15 15:47:35, m=0.90  ,w=11.68. Cost=1.91021
Solution: A= 8.906, B=-2.559, ,c1=-0.02, c2=-0.35 ,Crash=4.54 days/2017-11-18 12:35:44, m=0.90  ,w=9.72. Cost=2.27612
Solution: A= 9.137, B=-2.648, ,c1=0.08, c2=-0.31 ,Crash=30.88 days/2017-12-15 20:51:14, m=0.90  ,w=11.71. Cost=1.91017
Solution: A= 9.196, B=-2.636, ,c1=0.12, c2=-0.34 ,Crash=42.94 days/2017-12-19 22:14:13, m=0.87  ,w=12.00. Cost=1.32280
Solution: A= 9.199, B=-2.607, ,c1=0.03, c2=-0.36 ,Crash=29.67 days/2017-12-16 15:47:56, m=0.83  ,w=11.97. Cost=1.32629
Solution: A= 9.190, B=-2.617, ,c1=0.07, c2=-0.36 ,Crash=36.82 days/2017-12-18 19:14:16, m=0.86  ,w=12.04. Cost=1.39231
Solution: A= 9.148, B=-2.601, ,c1=0.06, c2=-0.36 ,Crash=32.16 days/2017-12-16 03:26:46, m=0.87  ,w=11.83. Cost=1.48362
Solution: A= 9.135, B=-2.626, ,c1=0.08, c2=-0.33 ,Crash=30.71 days/2017-12-16 16:47:31, m=0.90  ,w=11.82. Cost=1.71936
Solution: A= 9.184, B=-2.593, ,c1=0.03, c2=-0.36 ,Crash=34.71 days/2017-12-17 16:41:57, m=0.85  ,w=12.07. Cost=1.29395
Solution: A= 9.192, B=-2.626, ,c1=0.04, c2=-0.37 ,Crash=18.10 days/2017-12-11 02:06:26, m=0.81  ,w=11.40. Cost=1.46630
Solution: A= 9.147, B=-2.686, ,c1=0.06, c2=-0.30 ,Crash=17.44 days/2017-12-12 10:07:50, m=0.88  ,w=11.45. Cost=2.05453
Solution: A= 9.301, B=-2.658, ,c1=0.06, c2=-0.34 ,Crash=44.12 days/2017-12-24 02:33:34, m=0.81  ,w=12.58. Cost=1.24648
Solution: A= 9.136, B=-2.600, ,c1=0.08, c2=-0.36 ,Crash=29.83 days/2017-12-14 19:32:17, m=0.87  ,w=11.66. Cost=1.35204
Solution: A= 9.226, B=-2.638, ,c1=0.09, c2=-0.35 ,Crash=42.98 days/2017-12-20 23:12:22, m=0.85  ,w=12.19. Cost=1.37206
Solution: A= 9.146, B=-2.616, ,c1=0.09, c2=-0.36 ,Crash=25.78 days/2017-12-12 18:27:30, m=0.86  ,w=11.45. Cost=1.39183
Solution: A= 8.911, B=-2.482, ,c1=-0.11, c2=-0.39 ,Crash=8.79 days/2017-11-16 18:37:46, m=0.86  ,w=9.82. Cost=1.57640
Solution: A= 9.235, B=-2.646, ,c1=0.09, c2=-0.34 ,Crash=41.60 days/2017-12-20 14:04:33, m=0.84  ,w=12.14. Cost=1.29222
Solution: A= 9.154, B=-2.615, ,c1=0.07, c2=-0.36 ,Crash=23.34 days/2017-12-11 07:48:54, m=0.84  ,w=11.36. Cost=1.38895
Solution: A= 9.172, B=-2.633, ,c1=0.08, c2=-0.36 ,Crash=17.08 days/2017-12-10 01:27:29, m=0.82  ,w=11.21. Cost=1.41393
Solution: A= 9.242, B=-2.650, ,c1=0.10, c2=-0.34 ,Crash=42.38 days/2017-12-21 08:40:54, m=0.84  ,w=12.21. Cost=1.37713
Solution: A= 9.274, B=-2.653, ,c1=0.07, c2=-0.34 ,Crash=43.85 days/2017-12-22 20:02:31, m=0.82  ,w=12.41. Cost=1.26068
Solution: A= 9.274, B=-2.653, ,c1=0.07, c2=-0.34 ,Crash=42.78 days/2017-12-22 18:28:50, m=0.82  ,w=12.40. Cost=1.26070
Solution: A= 9.151, B=-2.617, ,c1=0.07, c2=-0.36 ,Crash=21.51 days/2017-12-10 11:52:20, m=0.84  ,w=11.28. Cost=1.39028
Solution: A= 9.308, B=-2.659, ,c1=0.06, c2=-0.33 ,Crash=45.43 days/2017-12-24 10:03:05, m=0.81  ,w=12.62. Cost=1.24448
Solution: A= 9.148, B=-2.605, ,c1=0.08, c2=-0.36 ,Crash=29.03 days/2017-12-15 00:16:15, m=0.87  ,w=11.68. Cost=1.35784
Solution: A= 9.187, B=-2.632, ,c1=0.06, c2=-0.36 ,Crash=16.72 days/2017-12-10 16:59:41, m=0.81  ,w=11.31. Cost=1.44086
Solution: A= 9.173, B=-2.612, ,c1=0.04, c2=-0.37 ,Crash=22.44 days/2017-12-11 10:14:33, m=0.82  ,w=11.45. Cost=1.46143
Solution: A= 9.152, B=-2.616, ,c1=0.07, c2=-0.36 ,Crash=21.31 days/2017-12-10 07:00:57, m=0.83  ,w=11.26. Cost=1.41267
Solution: A= 9.180, B=-2.608, ,c1=0.05, c2=-0.37 ,Crash=28.88 days/2017-12-15 20:48:57, m=0.84  ,w=11.85. Cost=1.45922
Solution: A= 8.932, B=-2.574, ,c1=-0.01, c2=-0.35 ,Crash=12.27 days/2017-11-21 06:12:19, m=0.90  ,w=9.89. Cost=2.21261
Solution: A= 9.300, B=-2.735, ,c1=0.15, c2=-0.24 ,Crash=51.74 days/2018-01-01 17:28:01, m=0.90  ,w=13.00. Cost=1.90276
Solution: A= 9.299, B=-2.726, ,c1=0.17, c2=-0.23 ,Crash=43.25 days/2018-01-02 05:44:09, m=0.90  ,w=12.95. Cost=1.99210
Solution: A= 9.225, B=-2.629, ,c1=0.02, c2=-0.36 ,Crash=17.21 days/2017-12-12 04:34:41, m=0.79  ,w=11.57. Cost=1.35243
