Date;High;Low;Close;Average;Total;Turnover;Trades
1998-05-05;751,740;751,740;751,740;;;;0
1998-05-04;753,560;753,560;753,560;;;;0
1998-04-30;737,020;737,020;737,020;;;;0
1998-04-29;726,880;726,880;726,880;;;;0
1998-04-28;732,810;732,810;732,810;;;;0
1998-04-27;718,760;718,760;718,760;;;;0
1998-04-24;735,290;735,290;735,290;;;;0
1998-04-23;739,540;739,540;739,540;;;;0
1998-04-22;744,630;744,630;744,630;;;;0
1998-04-21;763,820;763,820;763,820;;;;0
1998-04-20;757,420;757,420;757,420;;;;0
1998-04-17;759,460;759,460;759,460;;;;0
1998-04-16;765,160;765,160;765,160;;;;0
1998-04-15;775,070;775,070;775,070;;;;0
1998-04-14;766,730;766,730;766,730;;;;0
1998-04-09;753,210;753,210;753,210;;;;0
1998-04-08;745,950;745,950;745,950;;;;0
1998-04-07;751,280;751,280;751,280;;;;0
1998-04-06;761,020;761,020;761,020;;;;0
1998-04-03;747,260;747,260;747,260;;;;0
1998-04-02;729,680;729,680;729,680;;;;0
1998-04-01;731,280;731,280;731,280;;;;0
1998-03-31;725,230;725,230;725,230;;;;0
1998-03-30;727,690;727,690;727,690;;;;0
1998-03-27;733,430;733,430;733,430;;;;0
1998-03-26;729,390;729,390;729,390;;;;0
1998-03-25;740,460;740,460;740,460;;;;0
1998-03-24;733,260;733,260;733,260;;;;0
1998-03-23;730,420;730,420;730,420;;;;0
1998-03-20;729,690;729,690;729,690;;;;0
1998-03-19;725,440;725,440;725,440;;;;0
1998-03-18;726,260;726,260;726,260;;;;0
1998-03-17;729,300;729,300;729,300;;;;0
1998-03-16;721,960;721,960;721,960;;;;0
1998-03-13;716,050;716,050;716,050;;;;0
1998-03-12;711,910;711,910;711,910;;;;0
1998-03-11;707,350;707,350;707,350;;;;0
1998-03-10;701,460;701,460;701,460;;;;0
1998-03-09;698,370;698,370;698,370;;;;0
1998-03-06;689,480;689,480;689,480;;;;0
1998-03-05;677,470;677,470;677,470;;;;0
1998-03-04;678,750;678,750;678,750;;;;0
1998-03-03;683,620;683,620;683,620;;;;0
1998-03-02;690,990;690,990;690,990;;;;0
1998-02-27;683,340;683,340;683,340;;;;0
1998-02-26;683,580;683,580;683,580;;;;0
1998-02-25;681,980;681,980;681,980;;;;0
1998-02-24;668,690;668,690;668,690;;;;0
1998-02-23;668,640;668,640;668,640;;;;0
1998-02-20;666,230;666,230;666,230;;;;0
1998-02-19;665,470;665,470;665,470;;;;0
1998-02-18;665,460;665,460;665,460;;;;0
1998-02-17;666,470;666,470;666,470;;;;0
1998-02-16;655,950;655,950;655,950;;;;0
1998-02-13;650,700;650,700;650,700;;;;0
1998-02-12;646,720;646,720;646,720;;;;0
1998-02-11;651,780;651,780;651,780;;;;0
1998-02-10;647,470;647,470;647,470;;;;0
1998-02-09;646,810;646,810;646,810;;;;0
1998-02-06;645,050;645,050;645,050;;;;0
1998-02-05;639,500;639,500;639,500;;;;0
1998-02-04;632,710;632,710;632,710;;;;0
1998-02-03;633,760;633,760;633,760;;;;0
1998-02-02;638,690;638,690;638,690;;;;0
1998-01-30;627,140;627,140;627,140;;;;0
1998-01-29;629,320;629,320;629,320;;;;0
1998-01-28;624,770;624,770;624,770;;;;0
1998-01-27;621,580;621,580;621,580;;;;0
1998-01-26;607,920;607,920;607,920;;;;0
1998-01-23;601,230;601,230;601,230;;;;0
1998-01-22;602,200;602,200;602,200;;;;0
1998-01-21;608,650;608,650;608,650;;;;0
1998-01-20;605,150;605,150;605,150;;;;0
1998-01-19;604,090;604,090;604,090;;;;0
1998-01-16;598,170;598,170;598,170;;;;0
1998-01-15;590,640;590,640;590,640;;;;0
1998-01-14;584,770;584,770;584,770;;;;0
1998-01-13;570,490;570,490;570,490;;;;0
1998-01-12;569,970;569,970;569,970;;;;0
