Date,Fit1,Fit2,Fit3,Index
136.0,1811.1654729424336,1835.0399765421632,1837.3528753990413,1839.0899999999995
137.0,1837.3428035934921,1863.4568828583474,1866.0873985215362,1888.6500000000003
138.0,1863.5578263865846,1891.9264520404506,1894.8710186186836,1987.7099999999998
139.0,1889.7507451270403,1920.3809484169778,1923.6337843198207,2084.7299999999996
140.0,1915.859397844934,1948.7498239730216,1952.3028516064508,2041.2000000000005
141.0,1941.8195150367226,1976.960022743787,1980.8028059593892,2173.400000000001
142.0,1967.5650173183858,2004.9363333914134,2009.0560351210481,2320.4199999999996
143.0,1993.02835227269,2032.6017896440167,2036.9831520308787,2443.64
144.0,2018.1408696515257,2059.8781174734077,2064.5034666277475,2304.9799999999996
145.0,2042.8332334287472,2086.686227030197,2091.5355042921597,2202.42
146.0,2067.035868501017,2112.946746457462,2117.9975677401194,2038.8699999999997
147.0,2090.67943911627,2138.5805937847945,2143.8083381994193,2155.800000000001
148.0,2113.6953553874355,2163.509582183933,2168.8875107208246,2255.6100000000006
149.0,2136.0163035387395,2187.65705296829,2193.1564575259467,2175.469999999999
150.0,2157.5767948522926,2210.948529865817,2216.538912397336,2286.41
151.0,2178.313727651966,2233.3123873133177,2238.9616683019126,2407.88
152.0,2198.1669560992027,2254.6805248358687,2260.3552797336506,2488.5499999999993
153.0,2217.079859100567,2274.9890390124838,2280.654760692054,2515.349999999999
154.0,2234.999902257049,2294.178884111574,2299.800268803924,2511.8100000000004
155.0,2251.8791855371323,2312.196512227626,2317.7377658683868,2686.809999999999
156.0,2267.6749692432504,2328.9944836809887,2334.4196450766317,2863.2000000000003
157.0,2282.3501708754384,2344.532038568121,2349.8053153406445,2732.1600000000008
158.0,2295.8738256844067,2358.7756206777613,2363.8617335656522,2805.6199999999985
159.0,2308.221504052084,2371.69934552038,2376.5638763195197,2823.810000000001
160.0,2319.375679339848,2383.285404950039,2387.895143181928,2947.7100000000005
161.0,2329.3260404975554,2393.524401777757,2397.8476850832985,2958.1100000000015
162.0,2338.0697445193823,2402.4156088668906,2406.422652147994,2659.6299999999997
163.0,2345.611604750498,2409.9671484403393,2413.6303569109823,2717.0199999999995
164.0,2351.964212072005,2416.1960886880397,2419.490350250291,2506.369999999999
165.0,2357.147987097615,2421.1284562079204,2424.031408931693,2464.5799999999995
166.0,2361.191162677386,2424.799164307486,2427.291435256981,2518.5599999999995
167.0,2364.129697192986,2427.2518586976626,2429.317270900466,2655.879999999999
168.0,2366.0071203155912,2428.5386835850263,2430.1644285668485,2548.29
169.0,2366.8743140504776,2428.7199725739806,2429.8967465654637,2589.600000000001
170.0,2366.789232982413,2427.8638700888287,2428.5859727314933,2721.7899999999995
