"Date","Price","Open","High","Low","Vol.","Change %"
"May 24, 2007","4,151.13","4,188.68","4,208.39","4,089.39","18.10B","-0.54%"
"May 25, 2007","4,179.78","4,133.19","4,190.47","4,111.26","15.42B","0.69%"
"May 28, 2007","4,272.11","4,221.58","4,283.93","4,215.24","17.86B","2.21%"
"May 29, 2007","4,334.92","4,288.98","4,335.96","4,262.02","17.21B","1.47%"
"May 30, 2007","4,053.09","4,087.41","4,275.24","4,015.51","18.56B","-6.50%"
"May 31, 2007","4,109.65","4,006.28","4,178.11","3,858.04","17.31B","1.40%"
"Jun 01, 2007","4,000.74","4,120.63","4,181.28","3,966.98","16.09B","-2.65%"
"Jun 04, 2007","3,670.40","3,981.82","3,987.27","3,659.09","11.49B","-8.26%"
"Jun 05, 2007","3,767.10","3,564.43","3,768.56","3,404.15","15.71B","2.63%"
"Jun 06, 2007","3,776.32","3,781.38","3,821.70","3,682.79","14.59B","0.24%"
"Jun 07, 2007","3,890.80","3,787.70","3,891.40","3,779.50","14.24B","3.03%"
"Jun 08, 2007","3,913.14","3,900.03","3,935.79","3,852.05","13.59B","0.57%"
"Jun 11, 2007","3,995.68","3,942.01","4,000.42","3,930.74","13.38B","2.11%"
"Jun 12, 2007","4,072.14","4,011.68","4,073.18","3,910.00","14.95B","1.91%"
"Jun 13, 2007","4,176.48","4,110.74","4,193.45","4,102.04","16.69B","2.56%"
"Jun 14, 2007","4,115.21","4,162.21","4,179.73","4,085.78","13.84B","-1.47%"
"Jun 15, 2007","4,132.87","4,085.66","4,152.54","4,067.36","10.87B","0.43%"
"Jun 18, 2007","4,253.35","4,195.39","4,267.74","4,193.31","12.90B","2.92%"
"Jun 19, 2007","4,269.52","4,247.74","4,280.85","4,209.57","12.46B","0.38%"
"Jun 20, 2007","4,181.32","4,269.45","4,312.00","4,164.27","13.52B","-2.07%"
"Jun 21, 2007","4,230.82","4,170.89","4,256.54","4,147.05","11.29B","1.18%"
"Jun 22, 2007","4,091.45","4,230.97","4,249.43","4,024.49","11.97B","-3.29%"
"Jun 25, 2007","3,941.08","4,102.79","4,131.13","3,912.42","10.16B","-3.68%"
"Jun 26, 2007","3,973.37","3,863.25","3,976.19","3,818.85","9.38B","0.82%"
"Jun 27, 2007","4,078.60","3,985.72","4,090.72","3,948.29","9.51B","2.65%"
"Jun 28, 2007","3,914.20","4,080.19","4,113.28","3,912.81","9.78B","-4.03%"
"Jun 29, 2007","3,820.70","3,824.29","3,919.34","3,779.81","8.61B","-2.39%"
"Jul 02, 2007","3,836.29","3,800.23","3,859.86","3,724.19","7.43B","0.41%"
"Jul 03, 2007","3,899.72","3,854.72","3,906.76","3,821.46","6.97B","1.65%"
