Time,
2014-05-05 00:00:00 UTC,5590464147.31889
2014-05-06 00:00:00 UTC,5471714012.01995
2014-05-07 00:00:00 UTC,5488368741.60284
2014-05-08 00:00:00 UTC,5627066207.97499
2014-05-09 00:00:00 UTC,5626442493.43944
2014-05-10 00:00:00 UTC,5778646658.08501
2014-05-11 00:00:00 UTC,5816811136.16646
2014-05-12 00:00:00 UTC,5593894038.06078
2014-05-13 00:00:00 UTC,5603551600.83028
2014-05-14 00:00:00 UTC,5611176389.57344
2014-05-15 00:00:00 UTC,5686290499.29995
2014-05-16 00:00:00 UTC,5701839490.21126
2014-05-17 00:00:00 UTC,5719002235.78026
2014-05-18 00:00:00 UTC,5730647725.63306
2014-05-19 00:00:00 UTC,5705123542.48434
2014-05-20 00:00:00 UTC,5707404796.29158
2014-05-21 00:00:00 UTC,6325209426.30697
2014-05-22 00:00:00 UTC,6313582186.49106
2014-05-23 00:00:00 UTC,6846989923.6831
2014-05-24 00:00:00 UTC,6715709444.61124
2014-05-25 00:00:00 UTC,6806110692.75128
2014-05-26 00:00:00 UTC,7290883636.63428
2014-05-27 00:00:00 UTC,7495767739.74111
2014-05-28 00:00:00 UTC,7339679605.81231
2014-05-29 00:00:00 UTC,7434796875.08995
2014-05-30 00:00:00 UTC,7358086251.19235
2014-05-31 00:00:00 UTC,7943997919.07032
2014-06-01 00:00:00 UTC,8019732101.09959
2014-06-02 00:00:00 UTC,8136850093.57869
2014-06-03 00:00:00 UTC,8550561726.32468
2014-06-04 00:00:00 UTC,8557561283.94539
2014-06-05 00:00:00 UTC,8255076778.13028
2014-06-06 00:00:00 UTC,8462245030.77694
2014-06-07 00:00:00 UTC,8334218287.84818
2014-06-08 00:00:00 UTC,8453050822.66409
2014-06-09 00:00:00 UTC,8459820759.09941
2014-06-10 00:00:00 UTC,8357544547.60596
2014-06-11 00:00:00 UTC,8398678677.90895
2014-06-12 00:00:00 UTC,8104585656.49057
2014-06-13 00:00:00 UTC,7650422563.21401
2014-06-14 00:00:00 UTC,7664970141.969
2014-06-15 00:00:00 UTC,7351193196.80877
2014-06-16 00:00:00 UTC,7591599149.18731
2014-06-17 00:00:00 UTC,7577796931.12808
2014-06-18 00:00:00 UTC,7923917592.75423
2014-06-19 00:00:00 UTC,7847189568.77849
2014-06-20 00:00:00 UTC,7664079684.10339
2014-06-21 00:00:00 UTC,7631413070.49554
2014-06-22 00:00:00 UTC,7659022997.63973
2014-06-23 00:00:00 UTC,7772521534.68878
2014-06-24 00:00:00 UTC,7598721732.53504
2014-06-25 00:00:00 UTC,7475920018.91277
2014-06-26 00:00:00 UTC,7276846142.99706
2014-06-27 00:00:00 UTC,7533570637.60476
2014-06-28 00:00:00 UTC,7748540515.52439
2014-06-29 00:00:00 UTC,7682172225.8336
2014-06-30 00:00:00 UTC,7755692253.8603
2014-07-01 00:00:00 UTC,8354277453.1653
2014-07-02 00:00:00 UTC,8325420725.67308
2014-07-03 00:00:00 UTC,8404149283.90242
2014-07-04 00:00:00 UTC,8384592113.02994
2014-07-05 00:00:00 UTC,8172910353.76292
2014-07-06 00:00:00 UTC,8204423916.57764
2014-07-07 00:00:00 UTC,8221212609.39618
2014-07-08 00:00:00 UTC,8096176044.91401
2014-07-09 00:00:00 UTC,8122808868.94302
2014-07-10 00:00:00 UTC,8103641064.02133
2014-07-11 00:00:00 UTC,8014721191.68775
2014-07-12 00:00:00 UTC,8250221102.40568
2014-07-13 00:00:00 UTC,8285259067.54524
2014-07-14 00:00:00 UTC,8192521551.49821
2014-07-15 00:00:00 UTC,8079137841.0789
2014-07-16 00:00:00 UTC,8100725493.86052
2014-07-17 00:00:00 UTC,8025706518.87526
2014-07-18 00:00:00 UTC,8102113702.58405
2014-07-19 00:00:00 UTC,8186967250.88907
2014-07-20 00:00:00 UTC,8164377767.79128
2014-07-21 00:00:00 UTC,8119692912.98235
2014-07-22 00:00:00 UTC,8079262606.63309
2014-07-23 00:00:00 UTC,8066381322.82611
2014-07-24 00:00:00 UTC,8068825936.39318
2014-07-25 00:00:00 UTC,7881273946.68707
2014-07-26 00:00:00 UTC,7843021742.8997
2014-07-27 00:00:00 UTC,7795466733.82386
2014-07-28 00:00:00 UTC,7744338639.24731
2014-07-29 00:00:00 UTC,7656739479.05745
2014-07-30 00:00:00 UTC,7613423910.69804
2014-07-31 00:00:00 UTC,7336563266.52097
2014-08-01 00:00:00 UTC,7631172699.44089
2014-08-02 00:00:00 UTC,7794105455.06989
2014-08-03 00:00:00 UTC,7700587225.55095
2014-08-04 00:00:00 UTC,7696103718.74787
2014-08-05 00:00:00 UTC,7705317211.58262
2014-08-06 00:00:00 UTC,7635189817.42376
2014-08-07 00:00:00 UTC,7633167188.79601
2014-08-08 00:00:00 UTC,7691974655.75846
2014-08-09 00:00:00 UTC,7713189220.61656
2014-08-10 00:00:00 UTC,7729939123.0451
2014-08-11 00:00:00 UTC,7734946521.68047
2014-08-12 00:00:00 UTC,7512909021.05649
2014-08-13 00:00:00 UTC,7489964802.10566
2014-08-14 00:00:00 UTC,7162558686.63814
2014-08-15 00:00:00 UTC,6721676663.36689
2014-08-16 00:00:00 UTC,6535685289.70222
2014-08-17 00:00:00 UTC,6851424468.46664
2014-08-18 00:00:00 UTC,6630139291.30896
2014-08-19 00:00:00 UTC,6100264309.81988
2014-08-20 00:00:00 UTC,6437740614.44353
2014-08-21 00:00:00 UTC,6821035565.20836
2014-08-22 00:00:00 UTC,6860801863.37302
2014-08-23 00:00:00 UTC,6773281982.74311
2014-08-24 00:00:00 UTC,6581534738.33949
2014-08-25 00:00:00 UTC,6692528340.84431
2014-08-26 00:00:00 UTC,6638257869.21225
2014-08-27 00:00:00 UTC,6781207379.63907
2014-08-28 00:00:00 UTC,6769206999.39442
2014-08-29 00:00:00 UTC,6688109317.23456
2014-08-30 00:00:00 UTC,6707468503.25003
2014-08-31 00:00:00 UTC,6611437211.0443
2014-09-01 00:00:00 UTC,6351934225.59102
2014-09-02 00:00:00 UTC,6251971237.76671
2014-09-03 00:00:00 UTC,6275851140.5308
2014-09-04 00:00:00 UTC,6259932457.22595
2014-09-05 00:00:00 UTC,6448957576.21982
2014-09-06 00:00:00 UTC,6349838650.06404
2014-09-07 00:00:00 UTC,6379474198.64087
2014-09-08 00:00:00 UTC,6319657111.17927
2014-09-09 00:00:00 UTC,6229180769.30129
2014-09-10 00:00:00 UTC,6287542549.43987
2014-09-11 00:00:00 UTC,6343697414.20197
2014-09-12 00:00:00 UTC,6318470130.54555
2014-09-13 00:00:00 UTC,6281991982.4141
