basinhopping  Minimizing...
New minima 0.01288037 accepted. Solution: A= 9.316, B=-2.808, Crash=27.98 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.17 ,w=15.74 ,c2=-0.11.
New minima 0.01397895 accepted. Solution: A= 9.481, B=-2.911, Crash=28.70 days from 2017-12-02 23:39:07, m=0.79 ,c1=-0.15 ,w=16.11 ,c2=-0.07.
New minima 0.00808036 accepted. Solution: A= 9.271, B=-2.820, Crash=21.38 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.01 ,w=12.79 ,c2=-0.26.
New minima 0.00808049 accepted. Solution: A= 9.271, B=-2.820, Crash=21.33 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.00 ,w=12.78 ,c2=-0.26.
New minima 0.00810343 accepted. Solution: A= 9.277, B=-2.825, Crash=21.96 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.03 ,w=12.99 ,c2=-0.26.
New minima 0.00809516 accepted. Solution: A= 9.265, B=-2.815, Crash=20.88 days from 2017-12-02 23:39:07, m=0.90 ,c1=0.01 ,w=12.62 ,c2=-0.26.
New minima 0.00813009 accepted. Solution: A= 9.260, B=-2.809, Crash=20.46 days from 2017-12-02 23:39:07, m=0.90 ,c1=0.03 ,w=12.48 ,c2=-0.26.
New minima 0.00808376 accepted. Solution: A= 9.268, B=-2.818, Crash=21.14 days from 2017-12-02 23:39:07, m=0.90 ,c1=0.00 ,w=12.71 ,c2=-0.26.
New minima 0.00824633 accepted. Solution: A= 9.257, B=-2.801, Crash=19.69 days from 2017-12-02 23:39:07, m=0.89 ,c1=0.06 ,w=12.22 ,c2=-0.26.
New minima 0.00811459 accepted. Solution: A= 9.262, B=-2.811, Crash=20.62 days from 2017-12-02 23:39:07, m=0.90 ,c1=0.02 ,w=12.53 ,c2=-0.26.
New minima 0.00809759 accepted. Solution: A= 9.265, B=-2.814, Crash=20.84 days from 2017-12-02 23:39:07, m=0.90 ,c1=0.01 ,w=12.61 ,c2=-0.26.
New minima 0.00816268 accepted. Solution: A= 9.283, B=-2.831, Crash=22.49 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.05 ,w=13.18 ,c2=-0.25.
New minima 0.00817347 accepted. Solution: A= 9.329, B=-2.854, Crash=21.41 days from 2017-12-02 23:39:07, m=0.86 ,c1=-0.00 ,w=12.79 ,c2=-0.25.
New minima 0.00844974 accepted. Solution: A= 9.258, B=-2.792, Crash=18.80 days from 2017-12-02 23:39:07, m=0.88 ,c1=0.09 ,w=11.91 ,c2=-0.24.
New minima 0.00950046 accepted. Solution: A= 9.264, B=-2.761, Crash=16.22 days from 2017-12-02 23:39:07, m=0.85 ,c1=0.18 ,w=10.98 ,c2=-0.18.
New minima 0.01085600 accepted. Solution: A= 9.301, B=-2.753, Crash=14.31 days from 2017-12-02 23:39:07, m=0.79 ,c1=0.22 ,w=10.22 ,c2=-0.11.
New minima 0.01107716 accepted. Solution: A= 9.262, B=-2.740, Crash=14.11 days from 2017-12-02 23:39:07, m=0.82 ,c1=0.22 ,w=10.24 ,c2=-0.14.
New minima 0.01141977 accepted. Solution: A= 9.230, B=-2.710, Crash=13.67 days from 2017-12-02 23:39:07, m=0.84 ,c1=0.22 ,w=10.05 ,c2=-0.11.
x0: [ 3.701, -0.378, 29.367, 0.327, 0.433, 9.074, -0.642, 2017.921 ]
Solution: A= 9.271, B=-2.820, Crash=21.38 days/2017-12-24 08:41:21, m=0.90 ,c1=-0.01 ,w=12.79 ,c2=-0.26. Cost=0.00808
basinhopping  Minimizing...
New minima 0.35806515 accepted. Solution: A= 17.394, B=-10.439, Crash=20.18 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.05 ,w=25.00 ,c2=-0.87.
New minima 0.36934176 not accepted. Solution: A= 15.781, B=-8.835, Crash=20.17 days from 2017-12-02 23:39:07, m=0.12 ,c1=0.05 ,w=25.00 ,c2=-0.90.
New minima 0.36474147 accepted. Solution: A= 16.363, B=-9.414, Crash=20.18 days from 2017-12-02 23:39:07, m=0.11 ,c1=0.05 ,w=25.00 ,c2=-0.88.
New minima 0.35806573 accepted. Solution: A= 17.394, B=-10.439, Crash=20.18 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.05 ,w=25.00 ,c2=-0.87.
New minima 0.35806472 accepted. Solution: A= 17.394, B=-10.439, Crash=20.18 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.05 ,w=25.00 ,c2=-0.87.
New minima 0.35806553 accepted. Solution: A= 17.394, B=-10.439, Crash=20.18 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.05 ,w=25.00 ,c2=-0.87.
New minima 0.21444196 accepted. Solution: A= 18.435, B=-11.534, Crash=26.70 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=25.00 ,c2=-0.62.
New minima 0.21444197 accepted. Solution: A= 18.435, B=-11.534, Crash=26.70 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.02 ,w=25.00 ,c2=-0.62.
New minima 0.21671565 accepted. Solution: A= 17.601, B=-10.704, Crash=26.71 days from 2017-12-02 23:39:07, m=0.11 ,c1=0.02 ,w=25.00 ,c2=-0.63.
New minima 0.09452189 accepted. Solution: A= 16.696, B=-9.815, Crash=30.00 days from 2017-12-02 23:39:07, m=0.12 ,c1=0.02 ,w=23.84 ,c2=-0.36.
New minima 0.09484712 accepted. Solution: A= 16.488, B=-9.609, Crash=30.00 days from 2017-12-02 23:39:07, m=0.13 ,c1=0.02 ,w=23.84 ,c2=-0.36.
New minima 0.09472042 accepted. Solution: A= 16.568, B=-9.688, Crash=30.00 days from 2017-12-02 23:39:07, m=0.13 ,c1=0.02 ,w=23.84 ,c2=-0.36.
New minima 0.09421302 accepted. Solution: A= 16.904, B=-10.021, Crash=30.00 days from 2017-12-02 23:39:07, m=0.12 ,c1=0.02 ,w=23.85 ,c2=-0.36.
New minima 0.09398380 accepted. Solution: A= 17.065, B=-10.181, Crash=30.00 days from 2017-12-02 23:39:07, m=0.12 ,c1=0.02 ,w=23.85 ,c2=-0.36.
New minima 0.09449030 accepted. Solution: A= 16.716, B=-9.835, Crash=30.00 days from 2017-12-02 23:39:07, m=0.12 ,c1=0.02 ,w=23.84 ,c2=-0.36.
New minima 0.09428886 accepted. Solution: A= 16.851, B=-9.969, Crash=30.00 days from 2017-12-02 23:39:07, m=0.12 ,c1=0.02 ,w=23.84 ,c2=-0.36.
New minima 0.09341748 accepted. Solution: A= 17.492, B=-10.606, Crash=30.00 days from 2017-12-02 23:39:07, m=0.11 ,c1=0.02 ,w=23.85 ,c2=-0.35.
New minima 0.09320748 accepted. Solution: A= 17.662, B=-10.775, Crash=30.00 days from 2017-12-02 23:39:07, m=0.11 ,c1=0.02 ,w=23.85 ,c2=-0.35.
New minima 0.09334735 accepted. Solution: A= 17.548, B=-10.662, Crash=30.00 days from 2017-12-02 23:39:07, m=0.11 ,c1=0.02 ,w=23.85 ,c2=-0.35.
